track_id,type,traveled_d,avg_speed
180, Car, 480.62, 35.748661
181, Motorcycle, 480.71, 44.601624
182, Motorcycle, 486.16, 23.028722
183, Car, 32.11, 12.845410
184, Car, 478.66, 22.975633
185, Motorcycle, 487.23, 20.684375
186, Car, 477.70, 25.744193
187, Car, 34.30, 12.346529
188, Taxi, 261.91, 19.643018
189, Car, 93.48, 21.572758
190, Motorcycle, 56.88, 15.056520
191, Car, 105.45, 11.716569
192, Car, 27.26, 8.920560
193, Car, 199.45, 13.807814
194, Taxi, 225.35, 14.435345
195, Taxi, 358.31, 5.743177
196, Motorcycle, 481.59, 33.469879
197, Car, 235.61, 31.648758
198, Bus, 140.38, 15.502507
199, Car, 211.82, 13.377930
200, Motorcycle, 352.16, 15.092596
201, Car, 487.56, 30.578418
202, Car, 481.52, 34.808553
203, Motorcycle, 175.75, 10.406261
204, Taxi, 104.80, 19.856184
205, Motorcycle, 349.92, 14.996362
206, Motorcycle, 28.03, 9.891223
207, Motorcycle, 214.00, 14.058110
208, Motorcycle, 480.74, 48.073660
209, Motorcycle, 194.49, 12.918358
210, Motorcycle, 215.19, 14.136310
211, Car, 28.34, 3.750962
212, Motorcycle, 357.91, 15.790244
213, Car, 227.98, 24.572722
214, Taxi, 92.83, 22.279832
215, Car, 482.92, 20.309717
216, Medium Vehicle, 236.59, 11.090101
217, Car, 482.70, 37.776566
218, Car, 18.62, 0.096770
219, Taxi, 222.67, 14.627971
220, Motorcycle, 481.21, 50.951537
221, Motorcycle, 480.96, 40.079767
222, Medium Vehicle, 105.52, 19.185478
223, Heavy Vehicle, 481.74, 2.507635
224, Car, 223.58, 14.581484
225, Taxi, 480.33, 24.083196
226, Motorcycle, 149.79, 36.435828
227, Car, 235.43, 32.598103
228, Car, 197.28, 18.210205
229, Motorcycle, 55.36, 19.162203
230, Motorcycle, 433.83, 20.282799
231, Car, 347.72, 14.937735
232, Car, 481.27, 21.284879
233, Car, 480.66, 20.214535
234, Car, 461.87, 3.843576
235, Car, 102.44, 20.043382
236, Car, 482.49, 20.244247
237, Car, 211.29, 13.779575
238, Motorcycle, 343.75, 13.749898
239, Motorcycle, 488.19, 42.657813
240, Car, 360.16, 15.435314
241, Car, 28.53, 14.266360
